what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1347609342895
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1347609342895
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1347609342895
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1347609342896
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1347609342896
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1347609342896
os,sysinfo,,,"win32",1347609342899
arch,sysinfo,,,"x86",1347609342899
ws,sysinfo,,,"win32",1347609342899
locale,sysinfo,,,"en_US",1347609342899
processors,sysinfo,,,"2",1347609342900
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347609342900
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1347609342900
java.specification.name,sysinfo,,,"Java Platform API Specification",1347609342900
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347609342900
java.specification.version,sysinfo,,,"1.6",1347609342900
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1347609342900
java.version,sysinfo,,,"1.6.0_17",1347609342900
java.vm.info,sysinfo,,,"mixed mode",1347609342900
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1347609342900
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347609342900
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347609342900
java.vm.specification.version,sysinfo,,,"1.0",1347609342900
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1347609342900
java.vm.version,sysinfo,,,"14.3-b01",1347609342900
